"UAAXK0000","UAAXK0000_ORG","UAA","res","x","y"
NA,NA,NA,10000,4710,1430
3050,30,3410,20000,4700,1440
NA,NA,NA,20000,4720,1440
4580,20,5160,20000,4720,1420
NA,NA,NA,1000,6473,1686
70,0,70,5000,6405,1660
20,0,20,5000,6365,1595
NA,NA,NA,5000,6415,1595
1860,120,1860,10000,6410,1660
3870,80,3870,10000,6420,1650
4650,50,4650,10000,6430,1650
980,30,980,10000,6420,1640
1500,100,1510,10000,6430,1640
670,10,670,10000,6420,1630
820,110,830,10000,6430,1630
530,20,540,10000,6420,1620
970,40,970,10000,6430,1620
3230,150,3240,10000,6360,1610
3000,160,3000,10000,6370,1610
1100,30,1100,10000,6380,1610
1920,60,1920,10000,6390,1610
920,40,920,10000,6400,1610
1330,170,1330,10000,6410,1610
1680,50,1700,10000,6360,1600
2620,30,2620,10000,6370,1600
1710,140,1710,10000,6380,1600
2440,100,2440,10000,6390,1600
1030,110,1030,10000,6400,1600
2500,20,2510,10000,6410,1600
1370,30,1370,10000,6370,1590
6880,130,6880,20000,6420,1660
10710,30,10730,20000,6480,1660
110,0,110,20000,6500,1660
10440,470,10450,20000,6400,1640
5910,400,5910,20000,6360,1620
1180,20,1190,20000,6380,1620
3000,110,3020,20000,6400,1620
1020,20,1020,20000,6420,1600
950,120,960,20000,6380,1580
1190,30,1200,40000,6360,1640
35900,2050,35920,40000,6440,1640
4790,160,4790,40000,6320,1600
10670,250,10670,40000,6440,1600
NA,NA,NA,1000,2999,3553
860,0,860,5000,3030,3640
1200,0,1200,5000,3035,3640
120,0,120,10000,3140,3690
640,0,640,10000,3150,3690
1290,0,1290,10000,3150,3680
NA,NA,NA,10000,3120,3350
25820,990,25820,20000,3120,3580
18450,1430,18450,20000,3140,3580
NA,NA,NA,20000,2980,3560
27230,2020,27230,20000,3120,3560
40640,1580,40640,20000,3140,3560
33490,1320,33490,20000,3120,3540
21270,1090,21270,20000,3140,3540
28350,270,28350,20000,3160,3540
26000,370,26000,20000,3180,3540
29840,820,29840,20000,3120,3520
23110,580,23110,20000,3140,3520
28900,650,28900,20000,3160,3520
27110,650,27110,20000,3180,3520
35930,1070,35930,20000,3080,3420
27990,620,27990,20000,3100,3420
41880,550,41880,20000,3080,3400
26840,670,26840,20000,3100,3400
NA,NA,NA,20000,2940,3340
NA,NA,NA,20000,3200,3340
NA,NA,NA,40000,3160,3680
131960,1510,131960,40000,3200,3680
NA,NA,NA,40000,3240,3680
1430,0,1430,40000,3040,3640
NA,NA,NA,40000,3120,3640
75610,520,75610,40000,3160,3640
NA,NA,NA,40000,3200,3640
NA,NA,NA,40000,3000,3600
NA,NA,NA,40000,3040,3600
NA,NA,NA,40000,3080,3600
68960,1250,68960,40000,3120,3600
14810,1060,14810,40000,3160,3600
NA,NA,NA,40000,3200,3600
28380,2960,28380,40000,3000,3560
79750,590,79750,40000,3040,3560
105600,900,105600,40000,3080,3560
80230,2720,80230,40000,3160,3560
105740,1220,105740,40000,3200,3560
NA,NA,NA,40000,3240,3560
NA,NA,NA,40000,3000,3520
78920,750,78920,40000,3040,3520
172440,1510,172440,40000,3080,3520
136140,1060,136140,40000,3200,3520
NA,NA,NA,40000,3240,3520
NA,NA,NA,40000,3000,3480
79770,1370,79770,40000,3040,3480
99010,1230,99010,40000,3080,3480
100950,2350,100950,40000,3120,3480
109360,2390,109360,40000,3160,3480
114570,1000,114570,40000,3200,3480
NA,NA,NA,40000,3240,3480
5950,0,5950,40000,2960,3440
73720,440,73720,40000,3000,3440
89800,1240,89800,40000,3040,3440
94170,1070,94170,40000,3080,3440
116730,2460,116730,40000,3120,3440
115000,1990,115000,40000,3160,3440
88620,1560,88620,40000,3200,3440
NA,NA,NA,40000,3240,3440
NA,NA,NA,40000,2920,3400
60470,1490,60470,40000,2960,3400
158340,600,158340,40000,3000,3400
131190,1940,131190,40000,3040,3400
129180,1730,129180,40000,3120,3400
124320,1060,124320,40000,3160,3400
139720,830,139720,40000,3200,3400
NA,NA,NA,40000,3240,3400
NA,NA,NA,40000,2920,3360
81090,3290,81090,40000,2960,3360
103270,3460,103270,40000,3000,3360
117080,590,117080,40000,3040,3360
111850,990,111850,40000,3080,3360
108540,810,108540,40000,3120,3360
112420,860,112420,40000,3160,3360
62640,530,62640,40000,3200,3360
37130,1660,37130,40000,2960,3320
108290,1570,108290,40000,3000,3320
NA,NA,NA,40000,3040,3320
NA,NA,NA,40000,3080,3320
550,0,550,40000,3160,3320
NA,NA,NA,1000,2881,5127
NA,NA,NA,1000,3143,4950
NA,NA,NA,1000,3240,4901
NA,NA,NA,5000,2785,4920
NA,NA,NA,5000,3035,4790
134390,0,134390,10000,3100,4990
NA,NA,NA,10000,3030,4950
NA,NA,NA,10000,3110,4800
NA,NA,NA,10000,3040,4780
NA,NA,NA,20000,2820,5060
NA,NA,NA,20000,3040,5040
38870,0,38870,20000,2840,4980
40230,0,40230,20000,2860,4980
148180,0,148180,20000,3080,4980
NA,NA,NA,20000,3140,4980
NA,NA,NA,20000,3180,4980
68720,0,68720,20000,2840,4960
137150,0,137150,20000,2860,4960
30530,0,30530,20000,3080,4960
296880,0,296880,20000,3100,4960
213710,0,213710,20000,2840,4860
247550,0,247550,20000,2860,4860
76540,0,76540,20000,2840,4840
557750,0,557750,20000,2860,4840
93670,0,93670,20000,2880,4820
NA,NA,NA,20000,3200,4820
29320,0,29320,20000,2880,4800
NA,NA,NA,20000,2940,4800
138720,0,138720,40000,2840,5120
82500,0,82500,40000,2800,5080
101720,0,101720,40000,2840,5080
NA,NA,NA,40000,2880,5080
NA,NA,NA,40000,2920,5080
110960,0,110960,40000,2840,5040
272530,0,272530,40000,2880,5040
NA,NA,NA,40000,2920,5040
172270,0,172270,40000,2960,5040
97250,0,97250,40000,3000,5040
NA,NA,NA,40000,2760,5000
110700,0,110700,40000,2800,5000
235350,0,235350,40000,2840,5000
407270,0,407270,40000,2880,5000
